,model,nse_1day(s),nse_2day(s),nse_3day(s),nse_4day(s),nse_5day(s),nse_6day(s),nse_7day(s),nse_all
median,without pretrain,0.7120609879493713,0.6731287389993668,0.6581466943025589,0.6538626700639725,0.6467323899269104,0.6463936865329742,0.6349622756242752,0.6615205854177475
median,without fine-tune,0.7707111015915871,0.7287957221269608,0.7209604680538177,0.7075978368520737,0.69578717648983,0.6717006266117096,0.6332317292690277,0.7054997533559799
median,pretrain & fine-tune,0.8212945386767387,0.779369942843914,0.7651811018586159,0.7626606523990631,0.7550774812698364,0.748982772231102,0.7217029631137848,0.7648651376366615
mean,without pretrain,0.6824918228938286,0.6498866842003234,0.6336186329208648,0.6260524036446169,0.6194258103842166,0.6142175493011279,0.6019794100812123,0.6325263750141681
mean,without fine-tune,0.7448094819178944,0.7067435050202506,0.6913933222182095,0.6770481613172746,0.6615642576673026,0.6414271502741682,0.6090219915886201,0.676003856717873
mean,pretrain & fine-tune,0.7897465465993467,0.754500664642025,0.7374382865545688,0.7261825464221079,0.717100451562776,0.7081747351853706,0.6878602145072906,0.7315747147926421
