basin,nse_1day(s),nse_2day(s),nse_3day(s),nse_4day(s),nse_5day(s),nse_6day(s),nse_7day(s),nse_all
02/01545600,0.2080897241830825,0.2620789110660553,0.3099752068519592,0.3430594801902771,0.373081237077713,0.3869529366493225,0.4065348207950592,0.3271021544933319
02/01547700,0.4282946288585663,0.4872907996177673,0.5129504203796387,0.5207833051681519,0.5410447120666504,0.5455262660980225,0.5756399631500244,0.5159298181533813
02/01548500,0.1601745933294296,0.2031408250331878,0.2350043207406997,0.2389299720525741,0.25213223695755,0.255441278219223,0.2606305181980133,0.2293527126312255
02/01549500,0.2973866760730743,0.3306476771831512,0.3660773634910583,0.3756839334964752,0.3996466100215912,0.3786229789257049,0.392987459897995,0.3630095422267914
02/01550000,0.3219928741455078,0.4029363393783569,0.4139594137668609,0.4003380835056305,0.4153507649898529,0.3931501507759094,0.411371111869812,0.3941563963890075
02/01552000,0.4012109041213989,0.4260249137878418,0.4365201592445373,0.4365566372871399,0.4354453086853027,0.4453534185886383,0.4466180801391601,0.4325330257415771
02/01552500,0.386564701795578,0.4022178947925567,0.3909491896629333,0.4024288356304168,0.4301280379295349,0.4499467313289642,0.4806832373142242,0.4204156398773193
02/01557500,0.2878433763980865,0.3590812087059021,0.3751807510852813,0.3830061256885528,0.4125874936580658,0.4119170606136322,0.4207164943218231,0.3786153197288513
02/01567500,0.5462706685066223,0.6084902882575989,0.6265106797218323,0.5826480984687805,0.6240445375442505,0.5889403223991394,0.6231240034103394,0.6000033617019653
02/01568000,0.358851671218872,0.391129195690155,0.4106661677360534,0.3995043933391571,0.4183144867420196,0.4169683158397674,0.4163589179515838,0.4016843736171722
02/01580000,0.3759742677211761,0.3914650976657867,0.3841666877269745,0.4084644615650177,0.4090218544006347,0.3866876363754272,0.3849273920059204,0.3915292620658874
02/01583500,0.557451605796814,0.5613626837730408,0.559819221496582,0.555726945400238,0.5657175183296204,0.5487100481987,0.5498602986335754,0.5569498538970947
02/01586610,0.483846366405487,0.497285783290863,0.4990681111812591,0.529285728931427,0.5247509479522705,0.5071902275085449,0.5114616751670837,0.5075550675392151
02/01591400,0.6008452773094177,0.5705388784408569,0.5893169641494751,0.5960676670074463,0.574646532535553,0.568733274936676,0.559728741645813,0.5799826383590698
