basin,nse_1day(s),nse_2day(s),nse_3day(s),nse_4day(s),nse_5day(s),nse_6day(s),nse_7day(s),nse
01/01170100,0.149923637509346,0.19198307394981384,0.21368610858917236,0.22726553678512573,0.23131456971168518,0.2446809858083725,0.2802857756614685,0.21970029175281525
01/01181000,0.16919343173503876,0.24034720659255981,0.2592041492462158,0.26715272665023804,0.26261723041534424,0.28132179379463196,0.2881956696510315,0.2521710693836212
01/01187300,0.16547735035419464,0.19332128763198853,0.1952892690896988,0.20674645900726318,0.2106356918811798,0.22459009289741516,0.2572731673717499,0.2071155309677124
01/01195100,0.3552963137626648,0.3625141978263855,0.35884416103363037,0.3680172860622406,0.3676258623600006,0.381358802318573,0.3588827848434448,0.3646414577960968
01/04296000,0.0949229747056961,0.15756364166736603,0.1918916404247284,0.21209727227687836,0.22356350719928741,0.225785031914711,0.22965702414512634,0.19077831506729126
02/01333000,0.13506488502025604,0.17608381807804108,0.1923789232969284,0.1988753080368042,0.22627517580986023,0.20417003333568573,0.2426312267780304,0.19646412134170532
02/01350000,0.20694859325885773,0.23682858049869537,0.25088563561439514,0.26015546917915344,0.25686153769493103,0.26227957010269165,0.3113638162612915,0.2548927962779999
02/01350080,0.2723519206047058,0.33799993991851807,0.35817694664001465,0.370829701423645,0.3716001808643341,0.37441882491111755,0.4082750976085663,0.35619765520095825
02/01365000,0.1606086641550064,0.178367018699646,0.18973900377750397,0.20559756457805634,0.21784575283527374,0.23210744559764862,0.2773118317127228,0.208614781498909
02/01411300,0.15749259293079376,0.20126105844974518,0.21162880957126617,0.22406622767448425,0.2343156784772873,0.24672681093215942,0.2662954330444336,0.22024986147880554
02/01413500,0.25053444504737854,0.29769447445869446,0.31295835971832275,0.32755258679389954,0.3231483995914459,0.3231656849384308,0.34701281785964966,0.3116852045059204
02/01414500,0.2250039130449295,0.2609920799732208,0.29497775435447693,0.3085726499557495,0.30841830372810364,0.32364246249198914,0.3795050084590912,0.300008624792099
02/01415000,0.21698680520057678,0.26646482944488525,0.2714245915412903,0.28539180755615234,0.2859728932380676,0.2856539487838745,0.32715368270874023,0.2769864499568939
02/01423000,0.14932970702648163,0.20191723108291626,0.20271888375282288,0.19515056908130646,0.19317801296710968,0.19489692151546478,0.22682340443134308,0.19482006132602692
02/01434025,0.22320501506328583,0.25923240184783936,0.2787560522556305,0.3011951446533203,0.2992570400238037,0.3058723211288452,0.38261905312538147,0.2927209436893463
02/01435000,0.19236983358860016,0.2044690102338791,0.20969383418560028,0.22176508605480194,0.22527804970741272,0.23870909214019775,0.2996926009654999,0.22725892066955566
